OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
1,13-036416,20130214,HANSON AVE @ HAYWARD AVE,03-At intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
2,13-036589,20130214,WINDOM RD @ THALER AVE,04-At/near private drive,09-Right shoulder,01-Clear,"08-Dark, artificial",INTERSECTION,
3,13-025209,20130201,CARWOOD AVE @ COURTLAND AVE E,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
4,13-058355,20130315,KENORA DR @ WREN CRES / WREN PL,03-At intersection,01-Within intersection,01-Clear,"04-Dawn, artificial",INTERSECTION,
5,13-027776,20130203,KRAFT AVE @ JEAN AVE,04-At/near private drive,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
6,12-035186,20120213,GLASGOW ST @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
7,12-027908,20120204,CEDAR ST N @ KING ST E / CEDAR ST S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
8,12-139436,20120615,CASEY DR @ OLDFIELD DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
9,12-140470,20120616,SETTLERS DR @ THE COUNTRY WAY,04-At/near private drive,08-Left shoulder,01-Clear,01-Daylight,INTERSECTION,
10,12-149821,20120627,GREY FOX DR @ WILDERNESS DR / WATERCRESS CRT,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
11,12-148559,20120626,OTTAWA ST S @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
12,13-022265,20130125,BELMONT AVE W @ ARGYLE ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
13,13-020130,20130125,UNION BLVD @ YORK ST,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
14,13-020072,20130124,WILSON AVE @ FAIRWAY RD S,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
15,13-027034,20130202,HICKORY HEIGHTS CRES @ FOREST HILL DR,01-Non intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
16,13-068839,20130328,YOUNG ST @ ROY ST,04-At/near private drive,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
17,13-062687,20130319,STRANGE ST @ DOMINION ST,03-At intersection,01-Within intersection,04-Freezing Rain,"08-Dark, artificial",INTERSECTION,
18,13-005643,20130107,KING ST W @ COLLEGE ST,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
19,13-059256,20130316,SHELDON AVE N @ BRENTWOOD AVE,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
20,12-032219,20120209,PELTZ AVE @ MOORE AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
21,12-001741,20120103,WELLINGTON ST N @ ST LEGER ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
22,12-033160,20120210,GRAND RIVER BLVD @ MORRISON RD,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
23,12-045541,20120226,KINZIE AVE @ RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
24,12-044669,20120225,STIRLING AVE S @ GREENBROOK DR,03-At intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
25,12-133278,20120608,HELENA FEASBY ST @ HARDING ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
26,12-112853,20120515,GLASGOW ST @ DUNBAR RD,03-At intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
27,12-120270,20120515,BELLEVIEW AVE @ BECKER ST,03-At intersection,08-Left shoulder,01-Clear,01-Daylight,INTERSECTION,
28,12-135493,20120611,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
29,12-070151,20120324,AUTUMN RIDGE TRAIL @ WOODCREST CRT,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
30,13-108505,20130514,MARL MEADOW DR @ MARL MEADOW CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
31,13-115187,20130522,QUEEN ST N @ DUKE ST E / DUKE ST W,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
32,13-023017,20130129,WAVERLY RD @ GAGE AVE,01-Non intersection,02-Thru lane,04-Freezing Rain,01-Daylight,INTERSECTION,
33,13-018246,20130123,WELLINGTON ST N @ LANCASTER ST W,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
