id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,40,3,27,26/01/2021,0.34,1,341
25659,Heart of Alfama - Lisbon Center,107347,Ellie,Lisboa,Santa Maria Maior,38.71167,-9.12696,Entire home/apt,30,10,113,08/12/2019,1.36,1,108
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71272,-9.12628,Entire home/apt,38,3,325,10/01/2021,2.64,1,303
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,25,2,265,22/01/2021,2.49,2,323
29915,Modern and Cool Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74712,-9.15286,Entire home/apt,48,5,40,24/01/2021,0.31,1,294
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76381,-9.15256,Private room,40,1,2,22/07/2011,0.02,2,0
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.70896,-9.14938,Entire home/apt,50,1,114,08/03/2020,1,11,258
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71309,-9.14392,Entire home/apt,65,5,18,10/09/2020,0.15,5,365
48058,Small House Downtown Cascais,218990,Pim,Cascais,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,80,5,33,23/07/2020,0.46,1,218
48854,"Comfortable 4BR in historical villa, near market",222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,Entire home/apt,161,5,45,23/12/2020,0.67,1,0
49673,Cottage Countryside / Beaches Golf,225364,Mercês,Alenquer,Alenquer (Santo Estvo e Triana),39.05965,-9.04733,Entire home/apt,200,7,6,22/08/2020,0.11,1,358
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388,-9.1652,Entire home/apt,75,2,37,05/11/2019,0.33,2,254
52298,rooms free in lisbon,241711,Paulo,Lisboa,Misericrdia,38.71046,-9.15115,Entire home/apt,310,1,0,,,1,365
55116,Sonho Lisboa,259744,Miguel,Lisboa,Avenidas Novas,38.726,-9.15545,Private room,85,2,4,13/12/2019,0.07,2,365
56906,Lisbon Balcony Penthouse 15th Floor,270457,Antonio,Lisboa,So Vicente,38.71851,-9.12439,Entire home/apt,49,2,143,26/06/2020,1.16,7,197
75171,Long Stays - river a step away. Sunlight everyday,184400,Justostay,Lisboa,Estrela,38.70501,-9.16348,Entire home/apt,80,2,25,21/08/2019,0.22,10,307
76132,A Romantic Renewed Apartment T1,405842,Augusto,Lisboa,Campolide,38.72807,-9.16311,Entire home/apt,34,1,10,12/09/2019,0.33,9,3
83615,Sleep 4 - Tram 28 - 302/AL,184400,Justostay,Lisboa,Estrela,38.71255,-9.16001,Entire home/apt,85,3,18,30/04/2018,0.17,10,365
83700,Studio Cascais- Panoramic sea view,456477,Claudio,Cascais,Cascais e Estoril,38.70018,-9.43272,Entire home/apt,34,3,149,27/12/2020,1.24,1,262
83933,Charming flat with terrace in Graça,335614,Sebastien,Lisboa,So Vicente,38.72034,-9.12892,Entire home/apt,80,2,212,06/10/2019,1.83,2,0
84599,"LV Premier Baixa PR- Elevator, Balcony, AC, View",181902,Jose Luz,Lisboa,Santa Maria Maior,38.7106,-9.13689,Entire home/apt,127,1,70,03/03/2020,0.66,19,163
88312,Appart lumineux coeur de Lisbonne.,482911,A.,Lisboa,Arroios,38.72334,-9.14203,Entire home/apt,65,3,92,03/08/2020,0.77,1,354
88410,LISBOA PÁTRIA,483396,Miguel,Lisboa,So Vicente,38.71527,-9.12307,Entire home/apt,75,3,36,02/01/2020,0.3,1,365
89015,GREAT LUXURY HOUSE IN THE CENTER,485573,Justo,Lisboa,Misericrdia,38.7124,-9.14989,Entire home/apt,95,3,28,04/01/2019,0.24,1,364
90931,NORONHA apartment - BAIRRO ALTO,184400,Justostay,Lisboa,Santo Antnio,38.71767,-9.15262,Entire home/apt,120,3,16,25/07/2018,0.15,10,364
93829,Studio near to S Jorge Castle,183877,Cristina,Lisboa,So Vicente,38.71912,-9.13058,Entire home/apt,51,1,60,09/06/2019,0.73,1,6
